Name
Barbell
Dumbbell
Kettlebell
EZ Bar
Trap Bar
Smith Machine
Cable Machine
Resistance Band
Mini Band
Pull-Up Bar
Dip Bar
Medicine Ball
Slam Ball
Wall Ball
Stability Ball
Balance Board
Foam Roller
Plyo Box
Jump Rope
Battle Rope
Sandbag
Suspension Trainer
TRX
Gymnastic Rings
Weight Plate
Weight Bench
Adjustable Bench
Incline Bench
Decline Bench
Flat Bench
Leg Press Machine
Leg Curl Machine
Leg Extension Machine
Calf Raise Machine
Hack Squat Machine
Hip Thrust Machine
Pec Deck Machine
Chest Press Machine
Lat Pulldown Machine
Seated Row Machine
Cable Crossover Machine
Treadmill
Stationary Bike
Spin Bike
Elliptical
Stair Climber
Rowing Machine
SkiErg
Air Bike
Ab Roller
Captain's Chair
Roman Chair
GHD (Glute-Ham Developer)
Sled
Landmine
Core Trainer
Ankle Weights
Wrist Weights
Weighted Vest
Weight Belt
Lifting Straps
Lifting Chains
Resistance Sled
Ab Mat
Yoga Mat
Pilates Reformer
Power Rack
Squat Rack
Half Rack
Smith Rack
Monolift
Chalk
Climbing Rope
Parallette Bars
Arm Blaster
Thigh Abductor Machine
Thigh Adductor Machine
Stepper Machine
Vibration Plate
Balance Pad
Exercise Ball Chair
Preacher Curl Bench
Curl Bar
Safety Squat Bar
Buffalo Bar
Swiss Bar
Log Bar
